degisken,katsayi,odds_orani
kat__InternetService_Fiber optic,1.2267564610697739,3.410150622256979
say__TotalCharges,0.49154780885125626,1.6348446897378393
kat__StreamingMovies_Yes,0.4220195895744685,1.525038399243953
kat__PaymentMethod_Electronic check,0.40425438518132795,1.4981850145536992
kat__StreamingTV_Yes,0.3978726920237858,1.488654500251506
kat__PaperlessBilling_Yes,0.33753240684292835,1.4014850253611422
kat__MultipleLines_Yes,0.3260540016124563,1.385490185556718
say__SeniorCitizen,0.056868555140798506,1.0585166646767548
kat__PaymentMethod_Mailed check,0.04989811947114231,1.051163997776476
kat__DeviceProtection_Yes,0.04102515240453142,1.0418783109606633
kat__gender_Male,0.030986528557529643,1.0314716083824946
kat__Partner_Yes,0.019030771856134363,1.0192130112110143
kat__PaymentMethod_Credit card (automatic),-0.0006535243078869286,0.9993466891926118
kat__OnlineBackup_Yes,-0.07014246854753493,0.9322609925747788
kat__OnlineBackup_No internet service,-0.18411162884471063,0.8318429409771999
kat__StreamingTV_No internet service,-0.18411162884471063,0.8318429409771999
kat__TechSupport_No internet service,-0.18411162884471063,0.8318429409771999
kat__DeviceProtection_No internet service,-0.18411162884471063,0.8318429409771999
kat__StreamingMovies_No internet service,-0.18411162884471063,0.8318429409771999
kat__InternetService_No,-0.18411162884471063,0.8318429409771999
kat__OnlineSecurity_No internet service,-0.18411162884471063,0.8318429409771999
kat__MultipleLines_No phone service,-0.1912063293673992,0.8259621503206623
kat__Dependents_Yes,-0.23115231662139718,0.7936185755285572
kat__TechSupport_Yes,-0.2666960695380113,0.7659058182033369
kat__OnlineSecurity_Yes,-0.3347115186117512,0.715544477845399
kat__PhoneService_Yes,-0.3449384780422328,0.7082639259107931
say__MonthlyCharges,-0.5554309307488994,0.5738249291023261
kat__Contract_One year,-0.7141222563505827,0.4896216855660501
say__tenure,-1.161230424417115,0.3131006970342224
kat__Contract_Two year,-1.402888179313943,0.24588577520613597
