degisken,onem,std
tenure,0.040545781773403324,0.003908141698105535
Contract,0.03599343821850227,0.004697225120396931
InternetService,0.018909555917228628,0.004575400598527064
TotalCharges,0.015375838521618649,0.0019491360079220827
PaymentMethod,0.003681056085148186,0.001655877278139824
MonthlyCharges,0.0020284688315379625,0.0022661291338529304
OnlineSecurity,0.0017927785958477068,0.0012841616287875873
TechSupport,0.001404238463062087,0.0011718425347252573
PaperlessBilling,0.0013326788774359554,0.0009665288232585787
StreamingMovies,0.0011288503104360359,0.0010045767298163062
MultipleLines,0.0007611494312262564,0.0005365164692326402
SeniorCitizen,0.0005771267663851942,0.0003572169579324844
OnlineBackup,0.0004259991216513622,0.0011083028356135174
StreamingTV,0.0004090349358892187,0.0012166104539931947
PhoneService,0.00038311503784653017,0.00010962457592860555
DeviceProtection,0.0003803594340679487,0.0011844695176081927
Dependents,0.00026049066969788075,0.00034445348625614694
gender,-5.054810681406341e-05,0.00040339709387807583
Partner,-0.00010445460573331733,0.0003971824066221588
